1995_Gilpin's Welding & Machine Works, Inc.
1996_Gilpin's Welding & Machine Works, Inc.
1997_Gilpin's Welding & Machine Works, Inc.
1998_Gilpin's Welding & Machine Works, Inc.
2000_Gilpin's Welding & Machine Works, Inc.
2001_Gilpin's Welding & Machine Works, Inc.
2002_Gilpin's Welding & Machine Works, Inc.
2003_Gilpin's Welding & Machine Works, Inc.
2005_Gilpin's Welding & Machine Works, Inc.
2006_Gilpin's Welding & Machine Works, Inc.
2008_Gilpin's Welding & Machine Works, Inc.
2017_Gilpin's Welding & Machine Works, Inc.
2021_Gilpin's Welding & Machine Works, Inc.
2022_Gilpin's Welding & Machine Works, Inc.
