2003_MM Spirit, Inc. dba American Spirit
2004_MM Spirit, Inc. dba American Spirit
2005_MM Spirit, Inc. dba American Spirit
2006_MM Spirit, Inc. dba American Spirit
2007_MM Spirit, Inc. dba American Spirit
2008_MM Spirit, Inc. dba American Spirit
2010_MM Spirit, Inc. dba American Spirit
2011_MM Spirit, Inc. dba American Spirit
2012_MM Spirit, Inc. dba American Spirit
2014_MM Spirit, Inc. dba American Spirit
2015_MM Spirit, Inc. dba American Spirit
2017_MM Spirit, Inc. dba American Spirit
2018_MM Spirit, Inc. dba American Spirit
2019_MM Spirit, Inc. dba American Spirit
2021_MM Spirit, Inc. dba American Spirit
1995_Unknown
