1994_Nabors Trailers, Inc.
1995_Nabors Trailers, Inc.
1996_Nabors Trailers, Inc.
1998_Nabors Trailers, Inc.
2000_Nabors Trailers, Inc.
2001_Nabors Trailers, Inc.
2003_Nabors Trailers, Inc.
2004_Nabors Trailers, Inc.
2006_Nabors Trailers, Inc.
2007_Nabors Trailers, Inc.
2008_Nabors Trailers, Inc.
2010_Nabors Trailers, Inc.
2011_Nabors Trailers, Inc.
2012_Nabors Trailers, Inc.
2013_Nabors Trailers, Inc.
2014_Nabors Trailers, Inc.
2015_Nabors Trailers, Inc.
2016_Nabors Trailers, Inc.
2017_Nabors Trailers, Inc.
2018_Nabors Trailers, Inc.
2019_Nabors Trailers, Inc.
2020_Nabors Trailers, Inc.
2021_Nabors Trailers, Inc.
2022_Nabors Trailers, Inc.
