1997_TRAVIS BODY & TRAILER, INC.
1998_TRAVIS BODY & TRAILER, INC.
1999_TRAVIS BODY & TRAILER, INC.
2000_TRAVIS BODY & TRAILER, INC.
2001_TRAVIS BODY & TRAILER, INC.
2002_TRAVIS BODY & TRAILER, INC.
2003_TRAVIS BODY & TRAILER, INC.
2004_TRAVIS BODY & TRAILER, INC.
2005_TRAVIS BODY & TRAILER, INC.
2006_TRAVIS BODY & TRAILER, INC.
2007_TRAVIS BODY & TRAILER, INC.
2008_TRAVIS BODY & TRAILER, INC.
2009_TRAVIS BODY & TRAILER, INC.
2010_TRAVIS BODY & TRAILER, INC.
2011_TRAVIS BODY & TRAILER, INC.
2012_TRAVIS BODY & TRAILER, INC.
2013_TRAVIS BODY & TRAILER, INC.
2014_TRAVIS BODY & TRAILER, INC.
2015_TRAVIS BODY & TRAILER, INC.
2016_TRAVIS BODY & TRAILER, INC.
2017_TRAVIS BODY & TRAILER, INC.
2018_TRAVIS BODY & TRAILER, INC.
2019_TRAVIS BODY & TRAILER, INC.
2020_TRAVIS BODY & TRAILER, INC.
2021_TRAVIS BODY & TRAILER, INC.
2022_TRAVIS BODY & TRAILER, INC.
2023_TRAVIS BODY & TRAILER, INC.
1994_Unknown
1995_Unknown
1996_Unknown
