1994_Unknown
1995_Unknown
1996_Unknown
1997_Unknown
1998_Unknown
1999_Unknown
2000_Unknown
2001_Vanguard Industries of Michigan, Inc.
2002_Vanguard Industries of Michigan, Inc.
2003_Vanguard Industries of Michigan, Inc.
2004_Vanguard Industries of Michigan, Inc.
2005_Vanguard Industries of Michigan, Inc.
2006_Vanguard Industries of Michigan, Inc.
2007_Vanguard Industries of Michigan, Inc.
2008_Vanguard Industries of Michigan, Inc.
2011_Vanguard Industries of Michigan, Inc.
2012_Vanguard Industries of Michigan, Inc.
2013_Vanguard Industries of Michigan, Inc.
2014_Vanguard Industries of Michigan, Inc.
2015_Vanguard Industries of Michigan, Inc.
2016_Vanguard Industries of Michigan, Inc.
2017_Vanguard Industries of Michigan, Inc.
2018_Vanguard Industries of Michigan, Inc.
2019_Vanguard Industries of Michigan, Inc.
2020_Vanguard Industries of Michigan, Inc.
2021_Vanguard Industries of Michigan, Inc.
2022_Vanguard Industries of Michigan, Inc.
2023_Vanguard Industries of Michigan, Inc.
