1994_Unknown
1995_Unknown
1996_Unknown
1997_Unknown
1998_Unknown
1999_Unknown
2000_Welchel Enterprises, L.L.C. dba Cherokee
2001_Welchel Enterprises, L.L.C. dba Cherokee
2002_Welchel Enterprises, L.L.C. dba Cherokee
2003_Welchel Enterprises, L.L.C. dba Cherokee
2004_Welchel Enterprises, L.L.C. dba Cherokee
2005_Welchel Enterprises, L.L.C. dba Cherokee
2006_Welchel Enterprises, L.L.C. dba Cherokee
2007_Welchel Enterprises, L.L.C. dba Cherokee
2008_Welchel Enterprises, L.L.C. dba Cherokee
2009_Welchel Enterprises, L.L.C. dba Cherokee
2010_Welchel Enterprises, L.L.C. dba Cherokee
2011_Welchel Enterprises, L.L.C. dba Cherokee
2012_Welchel Enterprises, L.L.C. dba Cherokee
2013_Welchel Enterprises, L.L.C. dba Cherokee
2014_Welchel Enterprises, L.L.C. dba Cherokee
2015_Welchel Enterprises, L.L.C. dba Cherokee
2016_Welchel Enterprises, L.L.C. dba Cherokee
2020_Welchel Enterprises, L.L.C. dba Cherokee
2022_Welchel Enterprises, L.L.C. dba Cherokee
2023_Welchel Enterprises, L.L.C. dba Cherokee
